StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-4.67,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
2,2.4,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
3,3.6,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
4,4.8,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
5,6.0,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
6,7.2,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
7,8.4,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
8,9.6,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
9,10.8,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
10,12.0,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
11,13.2,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
12,14.4,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
13,15.6,-4.67,0.00,0.00,-4.67,-3.32,-3.32,0.00
14,16.8,-4.67,0.00,1.13,-4.67,-3.32,-3.32,0.00
15,18.0,-3.32,1.13,1.08,-3.32,-3.32,-3.32,0.00
16,19.2,-0.67,2.21,1.04,-0.67,-0.67,-0.67,0.00
17,20.4,3.22,3.24,0.99,3.22,3.22,3.22,0.00
18,21.6,8.31,4.24,0.95,8.31,8.31,8.31,0.00
19,22.8,14.54,5.19,0.92,14.54,14.54,14.54,0.00
20,24.0,21.86,6.11,0.88,21.86,21.86,21.86,0.00
21,25.2,30.24,6.98,0.84,30.24,30.24,30.24,0.00
22,26.4,39.64,7.83,0.81,39.64,39.64,39.64,0.00
23,27.6,50.00,8.64,0.78,50.00,50.00,50.00,0.00
24,28.8,61.29,9.41,0.74,61.29,61.29,61.29,0.00
25,30.0,73.48,10.16,0.71,73.48,73.48,73.48,0.00
26,31.2,86.52,10.87,0.69,86.52,86.52,86.52,0.00
27,32.4,100.39,11.56,0.66,100.39,100.39,100.39,0.00
28,33.6,115.04,12.21,0.63,115.04,115.04,115.04,0.00
29,34.8,130.46,12.84,0.61,130.46,130.46,130.46,0.00
30,36.0,146.60,13.45,0.58,146.60,146.60,146.60,0.00
31,37.2,163.43,14.03,0.56,163.43,163.43,163.43,0.00
32,38.4,180.93,14.59,0.53,180.93,180.93,180.93,0.00
33,39.6,199.08,15.12,0.51,199.08,199.08,199.08,0.00
34,40.8,217.84,15.63,0.49,217.84,217.84,217.84,0.00
35,42.0,237.19,16.13,0.47,237.19,237.19,237.19,0.00
36,43.2,257.11,16.60,0.45,257.11,257.11,257.11,0.00
37,44.4,277.57,17.05,0.43,277.57,277.57,277.57,0.00
38,45.6,298.55,17.49,0.42,298.55,298.55,298.55,0.00
39,46.8,320.04,17.90,0.40,320.04,320.04,320.04,0.00
40,48.0,342.00,18.30,0.38,342.00,342.00,342.00,0.00
41,49.2,364.42,18.69,0.37,364.42,364.42,364.42,0.00
42,50.4,387.29,19.06,0.35,387.29,387.29,387.29,0.00
43,51.6,410.58,19.41,0.34,410.58,410.58,410.58,0.00
44,52.8,434.28,19.75,0.33,434.28,434.28,434.28,0.00
45,54.0,458.36,20.07,0.31,458.36,458.36,458.36,0.00
46,55.2,482.83,20.39,0.30,482.83,482.83,482.83,0.00
47,56.4,507.65,20.68,0.29,507.65,507.65,507.65,0.00
48,57.6,532.82,20.97,0.28,532.82,532.82,532.82,0.00
49,58.8,558.31,21.25,0.26,558.31,558.31,558.31,0.00
50,60.0,584.13,21.51,0.25,584.13,584.13,584.13,0.00
51,61.2,610.25,21.77,0.24,610.25,610.25,610.25,0.00
52,62.4,636.66,22.01,0.23,636.66,636.66,636.66,0.00
53,63.6,663.35,22.24,0.22,663.35,663.35,663.35,0.00
54,64.8,690.31,22.47,0.22,690.31,690.31,690.31,0.00
55,66.0,717.53,22.68,0.21,717.53,717.53,717.53,0.00
56,67.2,745.00,22.89,0.20,745.00,745.00,745.00,0.00
57,68.4,772.70,23.09,0.19,772.70,772.70,772.70,0.00
58,69.6,800.64,23.28,0.18,800.64,800.64,800.64,0.00
59,70.8,828.79,23.46,0.17,828.79,828.79,828.79,0.00
60,72.0,857.15,23.63,0.17,857.15,857.15,857.15,0.00
61,73.2,885.71,23.80,0.16,885.71,885.71,885.71,0.00
