StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-2.67,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
2,2.4,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
3,3.6,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
4,4.8,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
5,6.0,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
6,7.2,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
7,8.4,-2.67,0.00,0.00,-2.67,-1.32,-1.32,0.00
8,9.6,-2.67,0.00,1.13,-2.67,-1.32,-1.32,0.00
9,10.8,-1.32,1.13,1.08,-1.32,-1.32,-1.32,0.00
10,12.0,1.33,2.21,1.04,1.33,1.33,1.33,0.00
11,13.2,5.22,3.24,0.99,5.22,5.22,5.22,0.00
12,14.4,10.31,4.24,0.95,10.31,10.31,10.31,0.00
13,15.6,16.54,5.19,0.92,16.54,16.54,16.54,0.00
14,16.8,23.86,6.11,0.88,23.86,23.86,23.86,0.00
15,18.0,32.24,6.98,0.84,32.24,32.24,32.24,0.00
16,19.2,41.64,7.83,0.81,41.64,41.64,41.64,0.00
17,20.4,52.00,8.64,0.78,52.00,52.00,52.00,0.00
18,21.6,63.29,9.41,0.74,63.29,63.29,63.29,0.00
19,22.8,75.48,10.16,0.71,75.48,75.48,75.48,0.00
20,24.0,88.52,10.87,0.69,88.52,88.52,88.52,0.00
21,25.2,102.39,11.56,0.66,102.39,102.39,102.39,0.00
22,26.4,117.04,12.21,0.63,117.04,117.04,117.04,0.00
23,27.6,132.46,12.84,0.61,132.46,132.46,132.46,0.00
24,28.8,148.60,13.45,0.58,148.60,148.60,148.60,0.00
25,30.0,165.43,14.03,0.56,165.43,165.43,165.43,0.00
26,31.2,182.93,14.59,0.53,182.93,182.93,182.93,0.00
27,32.4,201.08,15.12,0.51,201.08,201.08,201.08,0.00
28,33.6,219.84,15.63,0.49,219.84,219.84,219.84,0.00
29,34.8,239.19,16.13,0.47,239.19,239.19,239.19,0.00
30,36.0,259.11,16.60,0.45,259.11,259.11,259.11,0.00
31,37.2,279.57,17.05,0.43,279.57,279.57,279.57,0.00
32,38.4,300.55,17.49,0.42,300.55,300.55,300.55,0.00
33,39.6,322.04,17.90,0.40,322.04,322.04,322.04,0.00
34,40.8,344.00,18.30,0.38,344.00,344.00,344.00,0.00
35,42.0,366.42,18.69,0.37,366.42,366.42,366.42,0.00
36,43.2,389.29,19.06,0.35,389.29,389.29,389.29,0.00
37,44.4,412.58,19.41,0.34,412.58,412.58,412.58,0.00
38,45.6,436.28,19.75,0.33,436.28,436.28,436.28,0.00
39,46.8,460.36,20.07,0.31,460.36,460.36,460.36,0.00
40,48.0,484.83,20.39,0.30,484.83,484.83,484.83,0.00
41,49.2,509.65,20.68,0.29,509.65,509.65,509.65,0.00
42,50.4,534.82,20.97,0.28,534.82,534.82,534.82,0.00
43,51.6,560.31,21.25,0.26,560.31,560.31,560.31,0.00
44,52.8,586.13,21.51,0.25,586.13,586.13,586.13,0.00
45,54.0,612.25,21.77,0.24,612.25,612.25,612.25,0.00
46,55.2,638.66,22.01,0.23,638.66,638.66,638.66,0.00
47,56.4,665.35,22.24,0.22,665.35,665.35,665.35,0.00
48,57.6,692.31,22.47,0.22,692.31,692.31,692.31,0.00
49,58.8,719.53,22.68,0.21,719.53,719.53,719.53,0.00
50,60.0,747.00,22.89,0.20,747.00,747.00,747.00,0.00
51,61.2,774.70,23.09,0.19,774.70,774.70,774.70,0.00
52,62.4,802.64,23.28,0.18,802.64,802.64,802.64,0.00
