StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-12.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
2,2.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
3,3.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
4,4.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
5,6.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
6,7.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
7,8.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
8,9.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
9,10.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
10,12.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
11,13.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
12,14.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
13,15.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
14,16.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
15,18.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
16,19.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
17,20.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
18,21.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
19,22.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
20,24.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
21,25.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
22,26.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
23,27.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
24,28.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
25,30.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
26,31.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
27,32.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
28,33.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
29,34.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
30,36.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
31,37.2,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
32,38.4,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
33,39.6,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
34,40.8,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
35,42.0,-12.00,0.00,0.00,-12.00,-10.65,-10.65,0.00
36,43.2,-12.00,0.00,1.13,-12.00,-10.65,-10.65,0.00
37,44.4,-10.65,1.13,1.08,-10.65,-10.65,-10.65,0.00
38,45.6,-8.00,2.21,1.04,-8.00,-8.00,-8.00,0.00
39,46.8,-4.11,3.24,0.99,-4.11,-4.11,-4.11,0.00
40,48.0,0.97,4.24,0.95,0.97,0.97,0.97,0.00
41,49.2,7.20,5.19,0.92,7.20,7.20,7.20,0.00
42,50.4,14.53,6.11,0.88,14.53,14.53,14.53,0.00
43,51.6,22.91,6.98,0.84,22.91,22.91,22.91,0.00
44,52.8,32.30,7.83,0.81,32.30,32.30,32.30,0.00
45,54.0,42.67,8.64,0.78,42.67,42.67,42.67,0.00
46,55.2,53.96,9.41,0.74,53.96,53.96,53.96,0.00
47,56.4,66.15,10.16,0.71,66.15,66.15,66.15,0.00
48,57.6,79.19,10.87,0.69,79.19,79.19,79.19,0.00
49,58.8,93.06,11.56,0.66,93.06,93.06,93.06,0.00
50,60.0,107.71,12.21,0.63,107.71,107.71,107.71,0.00
51,61.2,123.12,12.84,0.61,123.12,123.12,123.12,0.00
52,62.4,139.26,13.45,0.58,139.26,139.26,139.26,0.00
53,63.6,156.10,14.03,0.56,156.10,156.10,156.10,0.00
54,64.8,173.60,14.59,0.53,173.60,173.60,173.60,0.00
55,66.0,191.75,15.12,0.51,191.75,191.75,191.75,0.00
56,67.2,210.51,15.63,0.49,210.51,210.51,210.51,0.00
57,68.4,229.86,16.13,0.47,229.86,229.86,229.86,0.00
58,69.6,249.77,16.60,0.45,249.77,249.77,249.77,0.00
59,70.8,270.24,17.05,0.43,270.24,270.24,270.24,0.00
60,72.0,291.22,17.49,0.42,291.22,291.22,291.22,0.00
61,73.2,312.70,17.90,0.40,312.70,312.70,312.70,0.00
62,74.4,334.67,18.30,0.38,334.67,334.67,334.67,0.00
63,75.6,357.09,18.69,0.37,357.09,357.09,357.09,0.00
64,76.8,379.96,19.06,0.35,379.96,379.96,379.96,0.00
65,78.0,403.25,19.41,0.34,403.25,403.25,403.25,0.00
66,79.2,426.94,19.75,0.33,426.94,426.94,426.94,0.00
67,80.4,451.03,20.07,0.31,451.03,451.03,451.03,0.00
68,81.6,475.49,20.39,0.30,475.49,475.49,475.49,0.00
69,82.8,500.32,20.68,0.29,500.32,500.32,500.32,0.00
70,84.0,525.48,20.97,0.28,525.48,525.48,525.48,0.00
71,85.2,550.98,21.25,0.26,550.98,550.98,550.98,0.00
72,86.4,576.79,21.51,0.25,576.79,576.79,576.79,0.00
73,87.6,602.91,21.77,0.24,602.91,602.91,602.91,0.00
74,88.8,629.33,22.01,0.23,629.33,629.33,629.33,0.00
75,90.0,656.02,22.24,0.22,656.02,656.02,656.02,0.00
76,91.2,682.98,22.47,0.22,682.98,682.98,682.98,0.00
77,92.4,710.20,22.68,0.21,710.20,710.20,710.20,0.00
78,93.6,737.67,22.89,0.20,737.67,737.67,737.67,0.00
79,94.8,765.37,23.09,0.19,765.37,765.37,765.37,0.00
80,96.0,793.30,23.28,0.18,793.30,793.30,793.30,0.00
81,97.2,821.45,23.46,0.17,821.45,821.45,821.45,0.00
82,98.4,849.82,23.63,0.17,849.82,849.82,849.82,0.00
83,99.6,878.38,23.80,0.16,878.38,878.38,878.38,0.00
84,100.8,907.13,23.96,0.15,907.13,907.13,907.13,0.00
85,102.0,936.07,24.12,0.15,936.07,936.07,936.07,0.00
86,103.2,965.19,24.27,0.14,965.19,965.19,965.19,0.00
87,104.4,994.48,24.41,0.14,994.48,994.48,994.48,0.00
88,105.6,1023.94,24.54,0.13,1023.94,1023.94,1023.94,0.00
89,106.8,1053.55,24.68,0.13,1053.55,1053.55,1053.55,0.00
90,108.0,1083.31,24.80,0.12,1083.31,1083.31,1083.31,0.00
91,109.2,1113.22,24.92,0.12,1113.22,1113.22,1113.22,0.00
92,110.4,1143.26,25.04,0.11,1143.26,1143.26,1143.26,0.00
93,111.6,1173.44,25.15,0.11,1173.44,1173.44,1173.44,0.00
94,112.8,1203.74,25.25,0.10,1203.74,1203.74,1203.74,0.00
95,114.0,1234.17,25.36,0.10,1234.17,1234.17,1234.17,0.00
96,115.2,1264.72,25.45,0.09,1264.72,1264.72,1264.72,0.00
97,116.4,1295.38,25.55,0.09,1295.38,1295.38,1295.38,0.00
98,117.6,1326.14,25.64,0.09,1326.14,1326.14,1326.14,0.00
99,118.8,1357.01,25.73,0.08,1357.01,1357.01,1357.01,0.00
100,120.0,1387.98,25.81,0.08,1387.98,1387.98,1387.98,0.00
101,121.2,1419.05,25.89,0.08,1419.05,1419.05,1419.05,0.00
102,122.4,1450.21,25.96,0.07,1450.21,1450.21,1450.21,0.00
103,123.6,1481.45,26.04,0.07,1481.45,1481.45,1481.45,0.00
104,124.8,1512.78,26.11,0.07,1512.78,1512.78,1512.78,0.00
105,126.0,1544.20,26.18,0.06,1544.20,1544.20,1544.20,0.00
106,127.2,1575.69,26.24,0.06,1575.69,1575.69,1575.69,0.00
107,128.4,1607.25,26.30,0.06,1607.25,1607.25,1607.25,0.00
108,129.6,1638.88,26.36,0.06,1638.88,1638.88,1638.88,0.00
109,130.8,1670.59,26.42,0.05,1670.59,1670.59,1670.59,0.00
110,132.0,1702.36,26.47,0.05,1702.36,1702.36,1702.36,0.00
111,133.2,1734.19,26.53,0.05,1734.19,1734.19,1734.19,0.00
112,134.4,1766.08,26.58,0.05,1766.08,1766.08,1766.08,0.00
113,135.6,1798.04,26.63,0.05,1798.04,1798.04,1798.04,0.00
114,136.8,1830.04,26.67,0.04,1830.04,1830.04,1830.04,0.00
115,138.0,1862.11,26.72,0.04,1862.11,1862.11,1862.11,0.00
116,139.2,1894.22,26.76,0.04,1894.22,1894.22,1894.22,0.00
117,140.4,1926.38,26.80,0.04,1926.38,1926.38,1926.38,0.00
118,141.6,1958.59,26.84,0.04,1958.59,1958.59,1958.59,0.00
119,142.8,1990.85,26.88,0.04,1990.85,1990.85,1990.85,0.00
120,144.0,2023.14,26.92,0.00,2023.14,2023.14,2023.14,0.00
