StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-62.67,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
2,2.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
3,3.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
4,4.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
5,6.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
6,7.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
7,8.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
8,9.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
9,10.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
10,12.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
11,13.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
12,14.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
13,15.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
14,16.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
15,18.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
16,19.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
17,20.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
18,21.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
19,22.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
20,24.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
21,25.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
22,26.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
23,27.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
24,28.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
25,30.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
26,31.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
27,32.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
28,33.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
29,34.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
30,36.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
31,37.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
32,38.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
33,39.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
34,40.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
35,42.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
36,43.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
37,44.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
38,45.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
39,46.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
40,48.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
41,49.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
42,50.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
43,51.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
44,52.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
45,54.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
46,55.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
47,56.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
48,57.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
49,58.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
50,60.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
51,61.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
52,62.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
53,63.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
54,64.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
55,66.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
56,67.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
57,68.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
58,69.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
59,70.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
60,72.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
61,73.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
62,74.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
63,75.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
64,76.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
65,78.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
66,79.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
67,80.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
68,81.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
69,82.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
70,84.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
71,85.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
72,86.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
73,87.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
74,88.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
75,90.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
76,91.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
77,92.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
78,93.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
79,94.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
80,96.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
81,97.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
82,98.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
83,99.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
84,100.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
85,102.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
86,103.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
87,104.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
88,105.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
89,106.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
90,108.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
91,109.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
92,110.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
93,111.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
94,112.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
95,114.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
96,115.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
97,116.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
98,117.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
99,118.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
100,120.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
101,121.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
102,122.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
103,123.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
104,124.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
105,126.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
106,127.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
107,128.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
108,129.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
109,130.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
110,132.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
111,133.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
112,134.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
113,135.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
114,136.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
115,138.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
116,139.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
117,140.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
118,141.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
119,142.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
120,144.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
121,145.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
122,146.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
123,147.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
124,148.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
125,150.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
126,151.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
127,152.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
128,153.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
129,154.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
130,156.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
131,157.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
132,158.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
133,159.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
134,160.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
135,162.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
136,163.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
137,164.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
138,165.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
139,166.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
140,168.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
141,169.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
142,170.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
143,171.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
144,172.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
145,174.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
146,175.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
147,176.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
148,177.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
149,178.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
150,180.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
151,181.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
152,182.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
153,183.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
154,184.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
155,186.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
156,187.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
157,188.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
158,189.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
159,190.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
160,192.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
161,193.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
162,194.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
163,195.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
164,196.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
165,198.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
166,199.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
167,200.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
168,201.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
169,202.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
170,204.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
171,205.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
172,206.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
173,207.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
174,208.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
175,210.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
176,211.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
177,212.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
178,213.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
179,214.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
180,216.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
181,217.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
182,218.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
183,219.6,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
184,220.8,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
185,222.0,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
186,223.2,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
187,224.4,-62.67,0.00,0.00,-62.67,-61.32,-61.32,0.00
188,225.6,-62.67,0.00,1.13,-62.67,-61.32,-61.32,0.00
189,226.8,-61.32,1.13,1.08,-61.32,-61.32,-61.32,0.00
190,228.0,-58.67,2.21,1.04,-58.67,-58.67,-58.67,0.00
191,229.2,-54.78,3.24,0.99,-54.78,-54.78,-54.78,0.00
192,230.4,-49.70,4.24,0.95,-49.70,-49.70,-49.70,0.00
