StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,0.00,0.00,1.13,0.00,0.00,0.00,0.00
1,1.2,1.35,1.13,1.08,4000.00,1.35,1.35,0.00
2,2.4,4.00,2.21,1.04,4000.00,4.00,4.00,0.00
3,3.6,7.89,3.24,0.99,4000.00,7.89,7.89,0.00
4,4.8,12.97,4.24,0.95,4000.00,12.97,12.97,0.00
5,6.0,19.20,5.19,0.92,4000.00,19.20,19.20,0.00
6,7.2,26.53,6.11,0.88,4000.00,26.53,26.53,0.00
7,8.4,34.91,6.98,0.84,4000.00,34.91,34.91,0.00
8,9.6,44.30,7.83,0.81,4000.00,44.30,44.30,0.00
9,10.8,54.67,8.64,0.78,4000.00,54.67,54.67,0.00
10,12.0,65.96,9.41,0.74,4000.00,65.96,65.96,0.00
11,13.2,78.15,10.16,0.71,4000.00,78.15,78.15,0.00
12,14.4,91.19,10.87,0.69,4000.00,91.19,91.19,0.00
13,15.6,105.06,11.56,0.66,4000.00,105.06,105.06,0.00
14,16.8,119.71,12.21,0.63,4000.00,119.71,119.71,0.00
15,18.0,135.12,12.84,0.61,4000.00,135.12,135.12,0.00
16,19.2,151.26,13.45,0.58,4000.00,151.26,151.26,0.00
17,20.4,168.10,14.03,0.56,4000.00,168.10,168.10,0.00
18,21.6,185.60,14.59,0.53,4000.00,185.60,185.60,0.00
19,22.8,203.75,15.12,0.51,4000.00,203.75,203.75,0.00
20,24.0,222.51,15.63,0.49,4000.00,222.51,222.51,0.00
21,25.2,241.86,16.13,0.47,4000.00,241.86,241.86,0.00
22,26.4,261.77,16.60,0.45,4000.00,261.77,261.77,0.00
23,27.6,282.24,17.05,0.43,4000.00,282.24,282.24,0.00
24,28.8,303.22,17.49,0.42,4000.00,303.22,303.22,0.00
25,30.0,324.70,17.90,0.40,4000.00,324.70,324.70,0.00
26,31.2,346.67,18.30,0.38,4000.00,346.67,346.67,0.00
27,32.4,369.09,18.69,0.37,4000.00,369.09,369.09,0.00
28,33.6,391.96,19.06,0.35,4000.00,391.96,391.96,0.00
29,34.8,415.25,19.41,0.34,4000.00,415.25,415.25,0.00
30,36.0,438.94,19.75,0.33,4000.00,438.94,438.94,0.00
31,37.2,463.03,20.07,0.31,4000.00,463.03,463.03,0.00
32,38.4,487.49,20.39,0.30,4000.00,487.49,487.49,0.00
33,39.6,512.32,20.68,0.29,4000.00,512.32,512.32,0.00
34,40.8,537.48,20.97,0.28,4000.00,537.48,537.48,0.00
35,42.0,562.98,21.25,0.26,4000.00,562.98,562.98,0.00
36,43.2,588.79,21.51,0.25,4000.00,588.79,588.79,0.00
37,44.4,614.91,21.77,0.24,4000.00,614.91,614.91,0.00
38,45.6,641.33,22.01,0.23,4000.00,641.33,641.33,0.00
39,46.8,668.02,22.24,0.22,4000.00,668.02,668.02,0.00
40,48.0,694.98,22.47,0.22,4000.00,694.98,694.98,0.00
41,49.2,722.20,22.68,0.21,4000.00,722.20,722.20,0.00
42,50.4,749.67,22.89,0.20,4000.00,749.67,749.67,0.00
43,51.6,777.37,23.09,0.19,4000.00,777.37,777.37,0.00
44,52.8,805.30,23.28,0.18,4000.00,805.30,805.30,0.00
45,54.0,833.45,23.46,0.17,4000.00,833.45,833.45,0.00
46,55.2,861.82,23.63,0.17,4000.00,861.82,861.82,0.00
47,56.4,890.38,23.80,0.16,4000.00,890.38,890.38,0.00
48,57.6,919.13,23.96,0.15,4000.00,919.13,919.13,0.00
49,58.8,948.07,24.12,0.15,4000.00,948.07,948.07,0.00
50,60.0,977.19,24.27,0.14,4000.00,977.19,977.19,0.00
51,61.2,1006.48,24.41,0.14,4000.00,1006.48,1006.48,0.00
52,62.4,1035.94,24.54,0.13,4000.00,1035.94,1035.94,0.00
53,63.6,1065.55,24.68,0.13,4000.00,1065.55,1065.55,0.00
54,64.8,1095.31,24.80,0.12,4000.00,1095.31,1095.31,0.00
55,66.0,1125.22,24.92,0.12,4000.00,1125.22,1125.22,0.00
56,67.2,1155.26,25.04,0.11,4000.00,1155.26,1155.26,0.00
57,68.4,1185.44,25.15,0.11,4000.00,1185.44,1185.44,0.00
58,69.6,1215.74,25.25,0.10,4000.00,1215.74,1215.74,0.00
59,70.8,1246.17,25.36,0.10,4000.00,1246.17,1246.17,0.00
60,72.0,1276.72,25.45,0.09,4000.00,1276.72,1276.72,0.00
61,73.2,1307.38,25.55,0.09,4000.00,1307.38,1307.38,0.00
62,74.4,1338.14,25.64,0.09,4000.00,1338.14,1338.14,0.00
63,75.6,1369.01,25.73,0.08,4000.00,1369.01,1369.01,0.00
64,76.8,1399.98,25.81,0.08,4000.00,1399.98,1399.98,0.00
65,78.0,1431.05,25.89,0.08,4000.00,1431.05,1431.05,0.00
66,79.2,1462.21,25.96,0.07,4000.00,1462.21,1462.21,0.00
67,80.4,1493.45,26.04,0.07,4000.00,1493.45,1493.45,0.00
68,81.6,1524.78,26.11,0.07,4000.00,1524.78,1524.78,0.00
69,82.8,1556.20,26.18,0.06,4000.00,1556.20,1556.20,0.00
70,84.0,1587.69,26.24,0.06,4000.00,1587.69,1587.69,0.00
71,85.2,1619.25,26.30,0.06,4000.00,1619.25,1619.25,0.00
72,86.4,1650.88,26.36,0.06,4000.00,1650.88,1650.88,0.00
73,87.6,1682.59,26.42,0.05,4000.00,1682.59,1682.59,0.00
74,88.8,1714.36,26.47,0.05,4000.00,1714.36,1714.36,0.00
75,90.0,1746.19,26.53,0.05,4000.00,1746.19,1746.19,0.00
76,91.2,1778.08,26.58,0.05,4000.00,1778.08,1778.08,0.00
77,92.4,1810.04,26.63,0.05,4000.00,1810.04,1810.04,0.00
78,93.6,1842.04,26.67,0.04,4000.00,1842.04,1842.04,0.00
79,94.8,1874.11,26.72,0.04,4000.00,1874.11,1874.11,0.00
80,96.0,1906.22,26.76,0.04,4000.00,1906.22,1906.22,0.00
81,97.2,1938.38,26.80,0.04,4000.00,1938.38,1938.38,0.00
82,98.4,1970.59,26.84,0.04,4000.00,1970.59,1970.59,0.00
83,99.6,2002.85,26.88,0.00,4000.00,2002.85,2002.85,0.00
