StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-5.33,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
2,2.4,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
3,3.6,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
4,4.8,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
5,6.0,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
6,7.2,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
7,8.4,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
8,9.6,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
9,10.8,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
10,12.0,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
11,13.2,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
12,14.4,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
13,15.6,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
14,16.8,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
15,18.0,-5.33,0.00,0.00,-5.33,-3.98,-3.98,0.00
16,19.2,-5.33,0.00,1.13,-5.33,-3.98,-3.98,0.00
17,20.4,-3.98,1.13,1.08,-3.98,-3.98,-3.98,0.00
18,21.6,-1.34,2.21,1.04,-1.34,-1.34,-1.34,0.00
19,22.8,2.56,3.24,0.99,2.56,2.56,2.56,0.00
20,24.0,7.64,4.24,0.95,7.64,7.64,7.64,0.00
21,25.2,13.87,5.19,0.92,13.87,13.87,13.87,0.00
22,26.4,21.20,6.11,0.88,21.20,21.20,21.20,0.00
23,27.6,29.58,6.98,0.84,29.58,29.58,29.58,0.00
24,28.8,38.97,7.83,0.81,38.97,38.97,38.97,0.00
25,30.0,49.33,8.64,0.78,49.33,49.33,49.33,0.00
26,31.2,60.63,9.41,0.74,60.63,60.63,60.63,0.00
27,32.4,72.81,10.16,0.71,72.81,72.81,72.81,0.00
28,33.6,85.86,10.87,0.69,85.86,85.86,85.86,0.00
29,34.8,99.72,11.56,0.66,99.72,99.72,99.72,0.00
30,36.0,114.38,12.21,0.63,114.38,114.38,114.38,0.00
31,37.2,129.79,12.84,0.61,129.79,129.79,129.79,0.00
32,38.4,145.93,13.45,0.58,145.93,145.93,145.93,0.00
33,39.6,162.76,14.03,0.56,162.76,162.76,162.76,0.00
34,40.8,180.27,14.59,0.53,180.27,180.27,180.27,0.00
35,42.0,198.41,15.12,0.51,198.41,198.41,198.41,0.00
36,43.2,217.17,15.63,0.49,217.17,217.17,217.17,0.00
37,44.4,236.52,16.13,0.47,236.52,236.52,236.52,0.00
38,45.6,256.44,16.60,0.45,256.44,256.44,256.44,0.00
39,46.8,276.90,17.05,0.43,276.90,276.90,276.90,0.00
40,48.0,297.89,17.49,0.42,297.89,297.89,297.89,0.00
