StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-6.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
2,2.4,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
3,3.6,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
4,4.8,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
5,6.0,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
6,7.2,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
7,8.4,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
8,9.6,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
9,10.8,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
10,12.0,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
11,13.2,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
12,14.4,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
13,15.6,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
14,16.8,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
15,18.0,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
16,19.2,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
17,20.4,-6.00,0.00,0.00,-6.00,-4.65,-4.65,0.00
18,21.6,-6.00,0.00,1.13,-6.00,-4.65,-4.65,0.00
19,22.8,-4.65,1.13,1.08,-4.65,-4.65,-4.65,0.00
20,24.0,-2.00,2.21,1.04,-2.00,-2.00,-2.00,0.00
21,25.2,1.89,3.24,0.99,1.89,1.89,1.89,0.00
22,26.4,6.97,4.24,0.95,6.97,6.97,6.97,0.00
23,27.6,13.20,5.19,0.92,13.20,13.20,13.20,0.00
24,28.8,20.53,6.11,0.88,20.53,20.53,20.53,0.00
25,30.0,28.91,6.98,0.84,28.91,28.91,28.91,0.00
26,31.2,38.30,7.83,0.81,38.30,38.30,38.30,0.00
27,32.4,48.67,8.64,0.78,48.67,48.67,48.67,0.00
28,33.6,59.96,9.41,0.74,59.96,59.96,59.96,0.00
29,34.8,72.15,10.16,0.71,72.15,72.15,72.15,0.00
30,36.0,85.19,10.87,0.69,85.19,85.19,85.19,0.00
31,37.2,99.06,11.56,0.66,99.06,99.06,99.06,0.00
32,38.4,113.71,12.21,0.63,113.71,113.71,113.71,0.00
33,39.6,129.12,12.84,0.61,129.12,129.12,129.12,0.00
34,40.8,145.26,13.45,0.58,145.26,145.26,145.26,0.00
35,42.0,162.10,14.03,0.56,162.10,162.10,162.10,0.00
36,43.2,179.60,14.59,0.53,179.60,179.60,179.60,0.00
37,44.4,197.75,15.12,0.51,197.75,197.75,197.75,0.00
38,45.6,216.51,15.63,0.49,216.51,216.51,216.51,0.00
39,46.8,235.86,16.13,0.47,235.86,235.86,235.86,0.00
40,48.0,255.77,16.60,0.45,255.77,255.77,255.77,0.00
41,49.2,276.24,17.05,0.43,276.24,276.24,276.24,0.00
42,50.4,297.22,17.49,0.42,297.22,297.22,297.22,0.00
43,51.6,318.70,17.90,0.40,318.70,318.70,318.70,0.00
44,52.8,340.67,18.30,0.38,340.67,340.67,340.67,0.00
45,54.0,363.09,18.69,0.37,363.09,363.09,363.09,0.00
46,55.2,385.96,19.06,0.35,385.96,385.96,385.96,0.00
47,56.4,409.25,19.41,0.34,409.25,409.25,409.25,0.00
48,57.6,432.94,19.75,0.33,432.94,432.94,432.94,0.00
49,58.8,457.03,20.07,0.31,457.03,457.03,457.03,0.00
50,60.0,481.49,20.39,0.30,481.49,481.49,481.49,0.00
51,61.2,506.32,20.68,0.29,506.32,506.32,506.32,0.00
52,62.4,531.48,20.97,0.28,531.48,531.48,531.48,0.00
53,63.6,556.98,21.25,0.26,556.98,556.98,556.98,0.00
54,64.8,582.79,21.51,0.25,582.79,582.79,582.79,0.00
55,66.0,608.91,21.77,0.24,608.91,608.91,608.91,0.00
