StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-29.33,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
2,2.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
3,3.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
4,4.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
5,6.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
6,7.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
7,8.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
8,9.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
9,10.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
10,12.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
11,13.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
12,14.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
13,15.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
14,16.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
15,18.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
16,19.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
17,20.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
18,21.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
19,22.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
20,24.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
21,25.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
22,26.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
23,27.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
24,28.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
25,30.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
26,31.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
27,32.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
28,33.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
29,34.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
30,36.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
31,37.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
32,38.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
33,39.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
34,40.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
35,42.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
36,43.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
37,44.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
38,45.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
39,46.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
40,48.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
41,49.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
42,50.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
43,51.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
44,52.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
45,54.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
46,55.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
47,56.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
48,57.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
49,58.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
50,60.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
51,61.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
52,62.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
53,63.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
54,64.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
55,66.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
56,67.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
57,68.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
58,69.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
59,70.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
60,72.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
61,73.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
62,74.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
63,75.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
64,76.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
65,78.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
66,79.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
67,80.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
68,81.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
69,82.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
70,84.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
71,85.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
72,86.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
73,87.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
74,88.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
75,90.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
76,91.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
77,92.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
78,93.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
79,94.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
80,96.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
81,97.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
82,98.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
83,99.6,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
84,100.8,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
85,102.0,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
86,103.2,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
87,104.4,-29.33,0.00,0.00,-29.33,-27.98,-27.98,0.00
88,105.6,-29.33,0.00,1.13,-29.33,-27.98,-27.98,0.00
89,106.8,-27.98,1.13,1.08,-27.98,-27.98,-27.98,0.00
90,108.0,-25.34,2.21,1.04,-25.34,-25.34,-25.34,0.00
91,109.2,-21.45,3.24,0.99,-21.45,-21.45,-21.45,0.00
92,110.4,-16.37,4.24,0.95,-16.37,-16.37,-16.36,0.00
93,111.6,-10.14,5.19,0.92,-10.14,-10.14,-10.14,0.00
94,112.8,-2.81,6.10,0.88,-2.81,-2.81,-2.81,0.00
95,114.0,5.56,6.98,0.84,5.56,5.56,5.56,0.00
96,115.2,14.95,7.82,0.81,14.95,14.95,14.95,0.00
97,116.4,25.31,8.63,0.78,25.31,25.31,25.31,0.00
98,117.6,36.60,9.41,0.74,36.60,36.60,36.60,0.00
99,118.8,48.78,10.15,0.71,48.78,48.78,48.78,0.00
100,120.0,61.82,10.87,0.68,61.82,61.82,61.82,0.00
101,121.2,75.68,11.55,0.66,75.68,75.68,75.68,0.00
102,122.4,90.33,12.21,0.63,90.33,90.33,90.33,0.00
103,123.6,105.74,12.84,0.60,105.74,105.74,105.74,0.00
104,124.8,121.87,13.44,0.58,121.87,121.87,121.87,0.00
105,126.0,138.70,14.02,0.56,138.70,138.70,138.70,0.00
106,127.2,156.20,14.58,0.53,156.20,156.20,156.20,0.00
107,128.4,174.33,15.12,0.51,174.33,174.33,174.34,0.00
108,129.6,193.09,15.63,0.49,193.09,193.09,193.09,0.00
109,130.8,212.43,16.12,0.47,212.43,212.43,212.43,0.00
110,132.0,232.34,16.59,0.45,232.34,232.34,232.34,0.00
111,133.2,252.80,17.04,0.43,252.80,252.80,252.80,0.00
112,134.4,273.77,17.48,0.42,273.77,273.77,273.77,0.00
113,135.6,295.25,17.90,0.40,295.25,295.25,295.25,0.00
114,136.8,317.20,18.30,0.38,317.20,317.20,317.20,0.00
115,138.0,339.62,18.68,0.37,339.62,339.62,339.62,0.00
116,139.2,362.47,19.05,0.35,362.47,362.47,362.47,0.00
117,140.4,385.76,19.40,0.34,385.76,385.76,385.76,0.00
118,141.6,409.44,19.74,0.33,409.44,409.44,409.44,0.00
119,142.8,433.52,20.07,0.31,433.52,433.52,433.52,0.00
120,144.0,457.98,20.38,0.30,457.98,457.98,457.98,0.00
121,145.2,482.79,20.68,0.29,482.79,482.79,482.79,0.00
122,146.4,507.94,20.96,0.28,507.94,507.94,507.95,0.00
123,147.6,533.43,21.24,0.26,533.43,533.43,533.43,0.00
124,148.8,559.24,21.50,0.25,559.24,559.24,559.24,0.00
125,150.0,585.35,21.76,0.24,585.35,585.35,585.35,0.00
126,151.2,611.75,22.00,0.23,611.75,611.75,611.75,0.00
127,152.4,638.43,22.24,0.22,638.43,638.43,638.43,0.00
128,153.6,665.38,22.46,0.22,665.38,665.38,665.38,0.00
129,154.8,692.59,22.67,0.21,692.59,692.59,692.59,0.00
130,156.0,720.05,22.88,0.20,720.05,720.05,720.05,0.00
131,157.2,747.74,23.08,0.19,747.74,747.74,747.74,0.00
132,158.4,775.66,23.27,0.18,775.66,775.66,775.66,0.00
133,159.6,803.80,23.45,0.17,803.80,803.80,803.81,0.00
134,160.8,832.15,23.63,0.17,832.15,832.15,832.16,0.00
135,162.0,860.71,23.79,0.16,860.71,860.71,860.71,0.00
136,163.2,889.45,23.95,0.15,889.45,889.45,889.45,0.00
137,164.4,918.38,24.11,0.15,918.38,918.38,918.38,0.00
138,165.6,947.49,24.26,0.14,947.49,947.49,947.49,0.00
139,166.8,976.77,24.40,0.14,976.77,976.77,976.77,0.00
140,168.0,1006.21,24.54,0.13,1006.21,1006.21,1006.21,0.00
141,169.2,1035.81,24.67,0.13,1035.81,1035.81,1035.81,0.00
142,170.4,1065.56,24.79,0.12,1065.56,1065.56,1065.56,0.00
143,171.6,1095.46,24.91,0.12,1095.46,1095.46,1095.46,0.00
144,172.8,1125.49,25.03,0.11,1125.49,1125.49,1125.49,0.00
145,174.0,1155.65,25.14,0.11,1155.65,1155.65,1155.66,0.00
146,175.2,1185.95,25.25,0.10,1185.95,1185.95,1185.95,0.00
147,176.4,1216.37,25.35,0.10,1216.37,1216.37,1216.37,0.00
148,177.6,1246.90,25.45,0.09,1246.90,1246.90,1246.90,0.00
149,178.8,1277.55,25.54,0.09,1277.55,1277.55,1277.55,0.00
150,180.0,1308.30,25.63,0.09,1308.30,1308.30,1308.30,0.00
151,181.2,1339.16,25.72,0.08,1339.16,1339.16,1339.16,0.00
152,182.4,1370.12,25.80,0.08,1370.12,1370.12,1370.12,0.00
153,183.6,1401.17,25.88,0.08,1401.17,1401.17,1401.18,0.00
154,184.8,1432.32,25.96,0.07,1432.32,1432.32,1432.32,0.00
155,186.0,1463.55,26.03,0.07,1463.55,1463.55,1463.56,0.00
156,187.2,1494.87,26.10,0.07,1494.87,1494.87,1494.87,0.00
157,188.4,1526.27,26.17,0.06,1526.27,1526.27,1526.27,0.00
158,189.6,1557.75,26.23,0.06,1557.75,1557.75,1557.75,0.00
159,190.8,1589.30,26.29,0.06,1589.30,1589.30,1589.30,0.00
160,192.0,1620.92,26.35,0.06,1620.92,1620.92,1620.93,0.00
161,193.2,1652.62,26.41,0.05,1652.62,1652.62,1652.62,0.00
162,194.4,1684.37,26.46,0.05,1684.37,1684.37,1684.38,0.00
163,195.6,1716.20,26.52,0.05,1716.20,1716.20,1716.20,0.00
164,196.8,1748.08,26.57,0.05,1748.08,1748.08,1748.08,0.00
165,198.0,1780.02,26.62,0.05,1780.02,1780.02,1780.02,0.00
