StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-18.67,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
2,2.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
3,3.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
4,4.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
5,6.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
6,7.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
7,8.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
8,9.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
9,10.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
10,12.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
11,13.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
12,14.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
13,15.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
14,16.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
15,18.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
16,19.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
17,20.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
18,21.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
19,22.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
20,24.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
21,25.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
22,26.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
23,27.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
24,28.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
25,30.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
26,31.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
27,32.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
28,33.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
29,34.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
30,36.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
31,37.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
32,38.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
33,39.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
34,40.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
35,42.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
36,43.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
37,44.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
38,45.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
39,46.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
40,48.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
41,49.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
42,50.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
43,51.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
44,52.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
45,54.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
46,55.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
47,56.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
48,57.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
49,58.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
50,60.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
51,61.2,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
52,62.4,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
53,63.6,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
54,64.8,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
55,66.0,-18.67,0.00,0.00,-18.67,-17.32,-17.32,0.00
56,67.2,-18.67,0.00,1.13,-18.67,-17.32,-17.32,0.00
57,68.4,-17.32,1.13,1.08,-17.32,-17.32,-17.32,0.00
58,69.6,-14.67,2.21,1.04,-14.67,-14.67,-14.67,0.00
59,70.8,-10.78,3.24,0.99,-10.78,-10.78,-10.78,0.00
60,72.0,-5.69,4.24,0.95,-5.69,-5.69,-5.69,0.00
61,73.2,0.54,5.19,0.92,0.54,0.54,0.54,0.00
62,74.4,7.86,6.11,0.88,7.86,7.86,7.86,0.00
63,75.6,16.24,6.98,0.84,16.24,16.24,16.24,0.00
64,76.8,25.64,7.83,0.81,25.64,25.64,25.64,0.00
65,78.0,36.00,8.64,0.78,36.00,36.00,36.00,0.00
66,79.2,47.29,9.41,0.74,47.29,47.29,47.29,0.00
67,80.4,59.48,10.16,0.71,59.48,59.48,59.48,0.00
68,81.6,72.52,10.87,0.69,72.52,72.52,72.52,0.00
69,82.8,86.39,11.56,0.66,86.39,86.39,86.39,0.00
70,84.0,101.04,12.21,0.63,101.04,101.04,101.04,0.00
71,85.2,116.46,12.84,0.61,116.46,116.46,116.46,0.00
72,86.4,132.60,13.45,0.58,132.60,132.60,132.60,0.00
73,87.6,149.43,14.03,0.56,149.43,149.43,149.43,0.00
74,88.8,166.93,14.59,0.53,166.93,166.93,166.93,0.00
75,90.0,185.08,15.12,0.51,185.08,185.08,185.08,0.00
76,91.2,203.84,15.63,0.49,203.84,203.84,203.84,0.00
77,92.4,223.19,16.13,0.47,223.19,223.19,223.19,0.00
78,93.6,243.11,16.60,0.45,243.11,243.11,243.11,0.00
79,94.8,263.57,17.05,0.43,263.57,263.57,263.57,0.00
80,96.0,284.55,17.49,0.42,284.55,284.55,284.55,0.00
81,97.2,306.04,17.90,0.40,306.04,306.04,306.04,0.00
82,98.4,328.00,18.30,0.38,328.00,328.00,328.00,0.00
83,99.6,350.42,18.69,0.37,350.42,350.42,350.42,0.00
84,100.8,373.29,19.06,0.35,373.29,373.29,373.29,0.00
85,102.0,396.58,19.41,0.34,396.58,396.58,396.58,0.00
86,103.2,420.28,19.75,0.33,420.28,420.28,420.28,0.00
87,104.4,444.36,20.07,0.31,444.36,444.36,444.36,0.00
88,105.6,468.83,20.39,0.30,468.83,468.83,468.83,0.00
89,106.8,493.65,20.68,0.29,493.65,493.65,493.65,0.00
90,108.0,518.82,20.97,0.28,518.82,518.82,518.82,0.00
91,109.2,544.31,21.25,0.26,544.31,544.31,544.31,0.00
92,110.4,570.13,21.51,0.25,570.13,570.13,570.13,0.00
93,111.6,596.25,21.77,0.24,596.25,596.25,596.25,0.00
94,112.8,622.66,22.01,0.23,622.66,622.66,622.66,0.00
95,114.0,649.35,22.24,0.22,649.35,649.35,649.35,0.00
96,115.2,676.31,22.47,0.22,676.31,676.31,676.31,0.00
97,116.4,703.53,22.68,0.21,703.53,703.53,703.53,0.00
98,117.6,731.00,22.89,0.20,731.00,731.00,731.00,0.00
99,118.8,758.70,23.09,0.19,758.70,758.70,758.70,0.00
100,120.0,786.64,23.28,0.18,786.64,786.64,786.64,0.00
101,121.2,814.79,23.46,0.17,814.79,814.79,814.79,0.00
102,122.4,843.15,23.63,0.17,843.15,843.15,843.15,0.00
103,123.6,871.71,23.80,0.16,871.71,871.71,871.71,0.00
104,124.8,900.47,23.96,0.15,900.47,900.47,900.47,0.00
105,126.0,929.41,24.12,0.15,929.41,929.41,929.41,0.00
106,127.2,958.53,24.27,0.14,958.53,958.53,958.53,0.00
107,128.4,987.82,24.41,0.14,987.82,987.82,987.82,0.00
108,129.6,1017.27,24.54,0.13,1017.27,1017.27,1017.27,0.00
109,130.8,1046.88,24.68,0.13,1046.88,1046.88,1046.88,0.00
110,132.0,1076.64,24.80,0.12,1076.64,1076.64,1076.64,0.00
111,133.2,1106.55,24.92,0.12,1106.55,1106.55,1106.55,0.00
112,134.4,1136.59,25.04,0.11,1136.59,1136.59,1136.59,0.00
113,135.6,1166.77,25.15,0.11,1166.77,1166.77,1166.77,0.00
114,136.8,1197.08,25.25,0.10,1197.08,1197.08,1197.08,0.00
115,138.0,1227.51,25.36,0.10,1227.51,1227.51,1227.51,0.00
116,139.2,1258.05,25.45,0.09,1258.05,1258.05,1258.05,0.00
117,140.4,1288.71,25.55,0.09,1288.71,1288.71,1288.71,0.00
118,141.6,1319.48,25.64,0.09,1319.48,1319.48,1319.48,0.00
119,142.8,1350.35,25.73,0.08,1350.35,1350.35,1350.35,0.00
120,144.0,1381.32,25.81,0.08,1381.32,1381.32,1381.32,0.00
121,145.2,1412.38,25.89,0.08,1412.38,1412.38,1412.38,0.00
122,146.4,1443.54,25.96,0.07,1443.54,1443.54,1443.54,0.00
123,147.6,1474.79,26.04,0.07,1474.79,1474.79,1474.79,0.00
124,148.8,1506.12,26.11,0.07,1506.12,1506.12,1506.12,0.00
125,150.0,1537.53,26.18,0.06,1537.53,1537.53,1537.53,0.00
126,151.2,1569.02,26.24,0.06,1569.02,1569.02,1569.02,0.00
127,152.4,1600.58,26.30,0.06,1600.58,1600.58,1600.58,0.00
128,153.6,1632.22,26.36,0.06,1632.22,1632.22,1632.22,0.00
129,154.8,1663.92,26.42,0.05,1663.92,1663.92,1663.92,0.00
130,156.0,1695.69,26.47,0.05,1695.69,1695.69,1695.69,0.00
131,157.2,1727.52,26.53,0.05,1727.52,1727.52,1727.52,0.00
132,158.4,1759.42,26.58,0.05,1759.42,1759.42,1759.42,0.00
133,159.6,1791.37,26.63,0.05,1791.37,1791.37,1791.37,0.00
134,160.8,1823.38,26.67,0.04,1823.38,1823.38,1823.38,0.00
135,162.0,1855.44,26.72,0.04,1855.44,1855.44,1855.44,0.00
136,163.2,1887.55,26.76,0.04,1887.55,1887.55,1887.55,0.00
137,164.4,1919.71,26.80,0.04,1919.71,1919.71,1919.71,0.00
138,165.6,1951.92,26.84,0.04,1951.92,1951.92,1951.92,0.00
139,166.8,1984.18,26.88,0.04,1984.18,1984.18,1984.18,0.00
140,168.0,2016.48,26.92,0.00,2016.48,2016.48,2016.48,0.00
