StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-44.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
2,2.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
3,3.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
4,4.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
5,6.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
6,7.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
7,8.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
8,9.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
9,10.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
10,12.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
11,13.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
12,14.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
13,15.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
14,16.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
15,18.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
16,19.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
17,20.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
18,21.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
19,22.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
20,24.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
21,25.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
22,26.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
23,27.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
24,28.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
25,30.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
26,31.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
27,32.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
28,33.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
29,34.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
30,36.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
31,37.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
32,38.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
33,39.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
34,40.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
35,42.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
36,43.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
37,44.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
38,45.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
39,46.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
40,48.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
41,49.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
42,50.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
43,51.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
44,52.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
45,54.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
46,55.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
47,56.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
48,57.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
49,58.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
50,60.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
51,61.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
52,62.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
53,63.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
54,64.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
55,66.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
56,67.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
57,68.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
58,69.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
59,70.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
60,72.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
61,73.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
62,74.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
63,75.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
64,76.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
65,78.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
66,79.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
67,80.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
68,81.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
69,82.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
70,84.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
71,85.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
72,86.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
73,87.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
74,88.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
75,90.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
76,91.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
77,92.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
78,93.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
79,94.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
80,96.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
81,97.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
82,98.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
83,99.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
84,100.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
85,102.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
86,103.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
87,104.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
88,105.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
89,106.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
90,108.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
91,109.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
92,110.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
93,111.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
94,112.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
95,114.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
96,115.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
97,116.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
98,117.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
99,118.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
100,120.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
101,121.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
102,122.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
103,123.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
104,124.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
105,126.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
106,127.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
107,128.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
108,129.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
109,130.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
110,132.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
111,133.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
112,134.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
113,135.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
114,136.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
115,138.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
116,139.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
117,140.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
118,141.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
119,142.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
120,144.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
121,145.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
122,146.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
123,147.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
124,148.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
125,150.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
126,151.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
127,152.4,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
128,153.6,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
129,154.8,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
130,156.0,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
131,157.2,-44.00,0.00,0.00,-44.00,-42.65,-42.65,0.00
132,158.4,-44.00,0.00,1.13,-44.00,-42.65,-42.65,0.00
133,159.6,-42.65,1.13,1.08,-42.65,-42.65,-42.65,0.00
134,160.8,-40.00,2.21,1.04,-40.00,-40.00,-40.00,0.00
135,162.0,-36.11,3.24,0.99,-36.11,-36.11,-36.11,0.00
136,163.2,-31.03,4.24,0.95,-31.03,-31.03,-31.03,0.00
137,164.4,-24.81,5.19,0.92,-24.81,-24.81,-24.80,0.00
138,165.6,-17.48,6.10,0.88,-17.48,-17.48,-17.48,0.00
139,166.8,-9.10,6.98,0.84,-9.10,-9.10,-9.10,0.00
140,168.0,0.29,7.82,0.81,0.29,0.29,0.29,0.00
141,169.2,10.65,8.63,0.78,10.65,10.65,10.65,0.00
142,170.4,21.93,9.41,0.74,21.93,21.93,21.94,0.00
143,171.6,34.12,10.15,0.71,34.12,34.12,34.12,0.00
144,172.8,47.16,10.87,0.68,47.16,47.16,47.16,0.00
145,174.0,61.02,11.55,0.66,61.02,61.02,61.02,0.00
146,175.2,75.67,12.21,0.63,75.67,75.67,75.67,0.00
147,176.4,91.07,12.84,0.60,91.07,91.07,91.07,0.00
148,177.6,107.20,13.44,0.58,107.20,107.20,107.20,0.00
149,178.8,124.03,14.02,0.56,124.03,124.03,124.03,0.00
150,180.0,141.53,14.58,0.53,141.53,141.53,141.53,0.00
151,181.2,159.67,15.12,0.51,159.67,159.67,159.67,0.00
152,182.4,178.42,15.63,0.49,178.42,178.42,178.42,0.00
153,183.6,197.77,16.12,0.47,197.77,197.77,197.77,0.00
154,184.8,217.68,16.59,0.45,217.68,217.68,217.68,0.00
155,186.0,238.13,17.04,0.43,238.13,238.13,238.13,0.00
156,187.2,259.10,17.48,0.42,259.10,259.10,259.10,0.00
157,188.4,280.58,17.90,0.40,280.58,280.58,280.58,0.00
158,189.6,302.53,18.30,0.38,302.53,302.53,302.53,0.00
159,190.8,324.95,18.68,0.37,324.95,324.95,324.95,0.00
160,192.0,347.81,19.05,0.35,347.81,347.81,347.81,0.00
161,193.2,371.09,19.40,0.34,371.09,371.09,371.09,0.00
162,194.4,394.78,19.74,0.33,394.78,394.78,394.78,0.00
163,195.6,418.86,20.07,0.31,418.86,418.86,418.86,0.00
164,196.8,443.31,20.38,0.30,443.31,443.31,443.31,0.00
165,198.0,468.12,20.68,0.29,468.12,468.12,468.12,0.00
166,199.2,493.28,20.96,0.28,493.28,493.28,493.28,0.00
167,200.4,518.77,21.24,0.26,518.77,518.77,518.77,0.00
168,201.6,544.57,21.50,0.25,544.57,544.57,544.57,0.00
169,202.8,570.68,21.76,0.24,570.68,570.68,570.68,0.00
170,204.0,597.08,22.00,0.23,597.08,597.08,597.08,0.00
171,205.2,623.76,22.24,0.22,623.76,623.76,623.77,0.00
172,206.4,650.72,22.46,0.22,650.72,650.72,650.72,0.00
173,207.6,677.92,22.67,0.21,677.92,677.92,677.92,0.00
174,208.8,705.38,22.88,0.20,705.38,705.38,705.38,0.00
175,210.0,733.07,23.08,0.19,733.07,733.07,733.08,0.00
176,211.2,761.00,23.27,0.18,761.00,761.00,761.00,0.00
177,212.4,789.14,23.45,0.17,789.14,789.14,789.14,0.00
178,213.6,817.49,23.63,0.17,817.49,817.49,817.49,0.00
179,214.8,846.04,23.79,0.16,846.04,846.04,846.04,0.00
180,216.0,874.78,23.95,0.15,874.78,874.78,874.79,0.00
181,217.2,903.72,24.11,0.15,903.72,903.72,903.72,0.00
182,218.4,932.82,24.26,0.14,932.82,932.82,932.82,0.00
183,219.6,962.10,24.40,0.14,962.10,962.10,962.10,0.00
184,220.8,991.54,24.54,0.13,991.54,991.54,991.54,0.00
185,222.0,1021.14,24.67,0.13,1021.14,1021.14,1021.14,0.00
186,223.2,1050.89,24.79,0.12,1050.89,1050.89,1050.89,0.00
187,224.4,1080.79,24.91,0.12,1080.79,1080.79,1080.79,0.00
188,225.6,1110.82,25.03,0.11,1110.82,1110.82,1110.82,0.00
189,226.8,1140.99,25.14,0.11,1140.99,1140.99,1140.99,0.00
190,228.0,1171.28,25.25,0.10,1171.28,1171.28,1171.28,0.00
191,229.2,1201.70,25.35,0.10,1201.70,1201.70,1201.70,0.00
192,230.4,1232.23,25.45,0.09,1232.23,1232.23,1232.23,0.00
193,231.6,1262.88,25.54,0.09,1262.88,1262.88,1262.88,0.00
194,232.8,1293.64,25.63,0.09,1293.64,1293.64,1293.64,0.00
195,234.0,1324.49,25.72,0.08,1324.49,1324.49,1324.50,0.00
196,235.2,1355.45,25.80,0.08,1355.45,1355.45,1355.45,0.00
197,236.4,1386.51,25.88,0.08,1386.51,1386.51,1386.51,0.00
198,237.6,1417.65,25.96,0.07,1417.65,1417.65,1417.65,0.00
199,238.8,1448.89,26.03,0.07,1448.89,1448.89,1448.89,0.00
200,240.0,1480.21,26.10,0.07,1480.21,1480.21,1480.21,0.00
201,241.2,1511.61,26.17,0.06,1511.61,1511.61,1511.61,0.00
202,242.4,1543.08,26.23,0.06,1543.08,1543.08,1543.08,0.00
203,243.6,1574.63,26.29,0.06,1574.63,1574.63,1574.64,0.00
204,244.8,1606.26,26.35,0.06,1606.26,1606.26,1606.26,0.00
205,246.0,1637.95,26.41,0.05,1637.95,1637.95,1637.95,0.00
206,247.2,1669.71,26.46,0.05,1669.71,1669.71,1669.71,0.00
207,248.4,1701.53,26.52,0.05,1701.53,1701.53,1701.53,0.00
208,249.6,1733.41,26.57,0.05,1733.41,1733.41,1733.41,0.00
209,250.8,1765.35,26.62,0.05,1765.35,1765.35,1765.35,0.00
210,252.0,1797.35,26.66,0.04,1797.35,1797.35,1797.35,0.00
211,253.2,1829.40,26.71,0.04,1829.40,1829.40,1829.40,0.00
212,254.4,1861.50,26.75,0.04,1861.50,1861.50,1861.50,0.00
213,255.6,1893.65,26.79,0.04,1893.65,1893.65,1893.65,0.00
214,256.8,1925.84,26.83,0.04,1925.84,1925.84,1925.84,0.00
215,258.0,1958.09,26.87,0.04,1958.09,1958.09,1958.09,0.00
216,259.2,1990.37,26.91,0.03,1990.37,1990.37,1990.37,0.00
217,260.4,2022.70,26.94,0.00,2022.70,2022.70,2022.70,0.00
