StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-1.33,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-1.33,0.00,0.00,-1.33,0.02,0.02,0.00
2,2.4,-1.33,0.00,0.00,-1.33,0.02,0.02,0.00
3,3.6,-1.33,0.00,0.00,-1.33,0.02,0.02,0.00
4,4.8,-1.33,0.00,1.13,-1.33,0.02,0.02,0.00
5,6.0,0.02,1.13,1.08,0.02,0.02,0.02,0.00
6,7.2,2.66,2.21,1.04,2.66,2.66,2.66,0.00
7,8.4,6.56,3.24,0.99,6.56,6.56,6.56,0.00
8,9.6,11.64,4.24,0.95,11.64,11.64,11.64,0.00
9,10.8,17.87,5.19,0.92,17.87,17.87,17.87,0.00
10,12.0,25.20,6.11,0.88,25.20,25.20,25.20,0.00
11,13.2,33.58,6.98,0.84,33.58,33.58,33.58,0.00
12,14.4,42.97,7.83,0.81,42.97,42.97,42.97,0.00
13,15.6,53.33,8.64,0.78,53.33,53.33,53.33,0.00
14,16.8,64.63,9.41,0.74,64.63,64.63,64.63,0.00
15,18.0,76.81,10.16,0.71,76.81,76.81,76.81,0.00
16,19.2,89.86,10.87,0.69,89.86,89.86,89.86,0.00
17,20.4,103.72,11.56,0.66,103.72,103.72,103.72,0.00
18,21.6,118.38,12.21,0.63,118.38,118.38,118.38,0.00
19,22.8,133.79,12.84,0.61,133.79,133.79,133.79,0.00
20,24.0,149.93,13.45,0.58,149.93,149.93,149.93,0.00
21,25.2,166.76,14.03,0.56,166.76,166.76,166.76,0.00
22,26.4,184.27,14.59,0.53,184.27,184.27,184.27,0.00
23,27.6,202.41,15.12,0.51,202.41,202.41,202.41,0.00
24,28.8,221.17,15.63,0.49,221.17,221.17,221.17,0.00
25,30.0,240.52,16.13,0.47,240.52,240.52,240.52,0.00
26,31.2,260.44,16.60,0.45,260.44,260.44,260.44,0.00
27,32.4,280.90,17.05,0.43,280.90,280.90,280.90,0.00
28,33.6,301.89,17.49,0.42,301.89,301.89,301.89,0.00
29,34.8,323.37,17.90,0.40,323.37,323.37,323.37,0.00
30,36.0,345.33,18.30,0.38,345.33,345.33,345.33,0.00
31,37.2,367.76,18.69,0.37,367.76,367.76,367.76,0.00
32,38.4,390.62,19.06,0.35,390.62,390.62,390.62,0.00
33,39.6,413.91,19.41,0.34,413.91,413.91,413.91,0.00
34,40.8,437.61,19.75,0.33,437.61,437.61,437.61,0.00
35,42.0,461.70,20.07,0.31,461.70,461.70,461.70,0.00
36,43.2,486.16,20.39,0.30,486.16,486.16,486.16,0.00
37,44.4,510.98,20.68,0.29,510.98,510.98,510.98,0.00
38,45.6,536.15,20.97,0.28,536.15,536.15,536.15,0.00
39,46.8,561.65,21.25,0.26,561.65,561.65,561.65,0.00
40,48.0,587.46,21.51,0.25,587.46,587.46,587.46,0.00
41,49.2,613.58,21.77,0.24,613.58,613.58,613.58,0.00
42,50.4,639.99,22.01,0.23,639.99,639.99,639.99,0.00
43,51.6,666.68,22.24,0.22,666.68,666.68,666.68,0.00
44,52.8,693.65,22.47,0.22,693.65,693.65,693.65,0.00
45,54.0,720.86,22.68,0.21,720.86,720.86,720.87,0.00
46,55.2,748.33,22.89,0.20,748.33,748.33,748.33,0.00
47,56.4,776.04,23.09,0.19,776.04,776.04,776.04,0.00
48,57.6,803.97,23.28,0.18,803.97,803.97,803.97,0.00
49,58.8,832.12,23.46,0.17,832.12,832.12,832.12,0.00
50,60.0,860.48,23.63,0.17,860.48,860.48,860.48,0.00
51,61.2,889.04,23.80,0.16,889.04,889.04,889.04,0.00
52,62.4,917.80,23.96,0.15,917.80,917.80,917.80,0.00
