StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-35.33,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
2,2.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
3,3.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
4,4.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
5,6.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
6,7.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
7,8.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
8,9.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
9,10.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
10,12.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
11,13.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
12,14.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
13,15.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
14,16.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
15,18.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
16,19.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
17,20.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
18,21.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
19,22.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
20,24.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
21,25.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
22,26.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
23,27.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
24,28.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
25,30.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
26,31.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
27,32.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
28,33.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
29,34.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
30,36.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
31,37.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
32,38.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
33,39.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
34,40.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
35,42.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
36,43.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
37,44.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
38,45.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
39,46.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
40,48.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
41,49.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
42,50.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
43,51.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
44,52.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
45,54.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
46,55.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
47,56.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
48,57.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
49,58.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
50,60.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
51,61.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
52,62.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
53,63.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
54,64.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
55,66.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
56,67.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
57,68.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
58,69.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
59,70.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
60,72.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
61,73.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
62,74.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
63,75.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
64,76.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
65,78.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
66,79.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
67,80.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
68,81.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
69,82.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
70,84.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
71,85.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
72,86.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
73,87.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
74,88.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
75,90.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
76,91.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
77,92.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
78,93.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
79,94.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
80,96.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
81,97.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
82,98.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
83,99.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
84,100.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
85,102.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
86,103.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
87,104.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
88,105.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
89,106.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
90,108.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
91,109.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
92,110.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
93,111.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
94,112.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
95,114.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
96,115.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
97,116.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
98,117.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
99,118.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
100,120.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
101,121.2,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
102,122.4,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
103,123.6,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
104,124.8,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
105,126.0,-35.33,0.00,0.00,-35.33,-33.98,-33.98,0.00
106,127.2,-35.33,0.00,1.13,-35.33,-33.98,-33.98,0.00
107,128.4,-33.98,1.13,1.08,-33.98,-33.98,-33.98,0.00
108,129.6,-31.34,2.21,1.04,-31.34,-31.34,-31.34,0.00
109,130.8,-27.45,3.24,0.99,-27.45,-27.45,-27.45,0.00
110,132.0,-22.37,4.24,0.95,-22.37,-22.37,-22.36,0.00
111,133.2,-16.14,5.19,0.92,-16.14,-16.14,-16.14,0.00
112,134.4,-8.81,6.10,0.88,-8.81,-8.81,-8.81,0.00
113,135.6,-0.44,6.98,0.84,-0.44,-0.44,-0.44,0.00
114,136.8,8.95,7.82,0.81,8.95,8.95,8.95,0.00
115,138.0,19.31,8.63,0.78,19.31,19.31,19.31,0.00
116,139.2,30.60,9.41,0.74,30.60,30.60,30.60,0.00
117,140.4,42.78,10.15,0.71,42.78,42.78,42.78,0.00
118,141.6,55.82,10.87,0.68,55.82,55.82,55.82,0.00
119,142.8,69.68,11.55,0.66,69.68,69.68,69.68,0.00
120,144.0,84.33,12.21,0.63,84.33,84.33,84.33,0.00
121,145.2,99.74,12.84,0.60,99.74,99.74,99.74,0.00
122,146.4,115.87,13.44,0.58,115.87,115.87,115.87,0.00
123,147.6,132.70,14.02,0.56,132.70,132.70,132.70,0.00
124,148.8,150.20,14.58,0.53,150.20,150.20,150.20,0.00
125,150.0,168.33,15.12,0.51,168.33,168.33,168.34,0.00
126,151.2,187.09,15.63,0.49,187.09,187.09,187.09,0.00
127,152.4,206.43,16.12,0.47,206.43,206.43,206.43,0.00
128,153.6,226.34,16.59,0.45,226.34,226.34,226.34,0.00
129,154.8,246.80,17.04,0.43,246.80,246.80,246.80,0.00
130,156.0,267.77,17.48,0.42,267.77,267.77,267.77,0.00
131,157.2,289.25,17.90,0.40,289.25,289.25,289.25,0.00
132,158.4,311.20,18.30,0.38,311.20,311.20,311.20,0.00
133,159.6,333.62,18.68,0.37,333.62,333.62,333.62,0.00
134,160.8,356.47,19.05,0.35,356.47,356.47,356.47,0.00
135,162.0,379.76,19.40,0.34,379.76,379.76,379.76,0.00
136,163.2,403.44,19.74,0.33,403.44,403.44,403.44,0.00
137,164.4,427.52,20.07,0.31,427.52,427.52,427.52,0.00
138,165.6,451.98,20.38,0.30,451.98,451.98,451.98,0.00
139,166.8,476.79,20.68,0.29,476.79,476.79,476.79,0.00
